sector,product group,product,Year,fiscal year,balance sheet generic term,balance sheet item,Value,Calculation1,numerical value,Calculation_numerical_value,Unit,supplement unit
Vegetable products,Fruit,fruit,1990, 1990/91,opening inventory,opening inventory,39,39,39,39,1 000 tons,product weight
Vegetable products,Fruit,fruit,1991, 1991/92,opening inventory,opening inventory,61,61,61,61,1 000 tons,product weight
Vegetable products,Fruit,fruit,1992, 1992/93,opening inventory,opening inventory,44,44,44,44,1 000 tons,product weight
Vegetable products,Fruit,fruit,1993, 1993/94,opening inventory,opening inventory,80,80,80,80,1 000 tons,product weight
Vegetable products,Fruit,fruit,1994, 1994/95,opening inventory,opening inventory,77,77,77,77,1 000 tons,product weight
Vegetable products,Fruit,fruit,1995, 1995/96,opening inventory,opening inventory,78,78,78,78,1 000 tons,product weight
Vegetable products,Fruit,fruit,1996, 1996/97,opening inventory,opening inventory,46,46,46,46,1 000 tons,product weight
Vegetable products,Fruit,fruit,1997, 1997/98,opening inventory,opening inventory,121,121,121,121,1 000 tons,product weight
Vegetable products,Fruit,fruit,1998, 1998/99,opening inventory,opening inventory,74,74,74,74,1 000 tons,product weight
Vegetable products,Fruit,fruit,1999, 1999/00,opening inventory,opening inventory,128,128,128,128,1 000 tons,product weight
Vegetable products,Fruit,fruit,2000, 2000/01,opening inventory,opening inventory,109,109,109,109,1 000 tons,product weight
Vegetable products,Fruit,fruit,2001, 2001/02,opening inventory,opening inventory,134,134,134,134,1 000 tons,product weight
Vegetable products,Fruit,fruit,2002, 2002/03,opening inventory,opening inventory,115,115,115,115,1 000 tons,product weight
Vegetable products,Fruit,fruit,2003, 2003/04,opening inventory,opening inventory,80,80,80,80,1 000 tons,product weight
Vegetable products,Fruit,fruit,2004, 2004/05,opening inventory,opening inventory,101,101,101,101,1 000 tons,product weight
Vegetable products,Fruit,fruit,2005, 2005/06,opening inventory,opening inventory,144.1,144.1,144.1,144.1,1 000 tons,product weight
Vegetable products,Fruit,fruit,2006, 2006/07,opening inventory,opening inventory,116.4,116.4,116.4,116.4,1 000 tons,product weight
Vegetable products,Fruit,fruit,2007, 2007/08,opening inventory,opening inventory,121.4,121.4,121.4,121.4,1 000 tons,product weight
Vegetable products,Fruit,fruit,2008, 2008/09,opening inventory,opening inventory,113.6,113.6,113.6,113.6,1 000 tons,product weight
Vegetable products,Fruit,fruit,2009, 2009/10,opening inventory,opening inventory,137.5,137.5,137.5,137.5,1 000 tons,product weight
Vegetable products,Fruit,fruit,2010, 2010/11,opening inventory,opening inventory,157.8,157.8,157.8,157.8,1 000 tons,product weight
Vegetable products,Fruit,fruit,2011, 2011/12,opening inventory,opening inventory,114.7,114.7,114.7,114.7,1 000 tons,product weight
Vegetable products,Fruit,fruit,2012, 2012/13,opening inventory,opening inventory,157.9,157.9,157.9,157.9,1 000 tons,product weight
Vegetable products,Fruit,fruit,2013, 2013/14,opening inventory,opening inventory,153.15,153.15,153.15,153.15,1 000 tons,product weight
Vegetable products,Fruit,fruit,2014, 2014/15,opening inventory,opening inventory,132.6,132.6,132.6,132.6,1 000 tons,product weight
Vegetable products,Fruit,fruit,1990, 1990/91,ending stock,ending stock,61,61,61,61,1 000 tons,product weight
Vegetable products,Fruit,fruit,1991, 1991/92,ending stock,ending stock,44,44,44,44,1 000 tons,product weight
Vegetable products,Fruit,fruit,1992, 1992/93,ending stock,ending stock,80,80,80,80,1 000 tons,product weight
Vegetable products,Fruit,fruit,1993, 1993/94,ending stock,ending stock,77,77,77,77,1 000 tons,product weight
Vegetable products,Fruit,fruit,1994, 1994/95,ending stock,ending stock,78,78,78,78,1 000 tons,product weight
Vegetable products,Fruit,fruit,1995, 1995/96,ending stock,ending stock,46,46,46,46,1 000 tons,product weight
Vegetable products,Fruit,fruit,1996, 1996/97,ending stock,ending stock,121,121,121,121,1 000 tons,product weight
Vegetable products,Fruit,fruit,1997, 1997/98,ending stock,ending stock,74,74,74,74,1 000 tons,product weight
Vegetable products,Fruit,fruit,1998, 1998/99,ending stock,ending stock,128,128,128,128,1 000 tons,product weight
Vegetable products,Fruit,fruit,1999, 1999/00,ending stock,ending stock,109,109,109,109,1 000 tons,product weight
Vegetable products,Fruit,fruit,2000, 2000/01,ending stock,ending stock,134,134,134,134,1 000 tons,product weight
Vegetable products,Fruit,fruit,2001, 2001/02,ending stock,ending stock,115,115,115,115,1 000 tons,product weight
Vegetable products,Fruit,fruit,2002, 2002/03,ending stock,ending stock,80,80,80,80,1 000 tons,product weight
Vegetable products,Fruit,fruit,2003, 2003/04,ending stock,ending stock,101,101,101,101,1 000 tons,product weight
Vegetable products,Fruit,fruit,2004, 2004/05,ending stock,ending stock,144,144,144,144,1 000 tons,product weight
Vegetable products,Fruit,fruit,2005, 2005/06,ending stock,ending stock,116.4,116.4,116.4,116.4,1 000 tons,product weight
Vegetable products,Fruit,fruit,2006, 2006/07,ending stock,ending stock,121.4,121.4,121.4,121.4,1 000 tons,product weight
Vegetable products,Fruit,fruit,2007, 2007/08,ending stock,ending stock,113.6,113.6,113.6,113.6,1 000 tons,product weight
Vegetable products,Fruit,fruit,2008, 2008/09,ending stock,ending stock,137.5,137.5,137.5,137.5,1 000 tons,product weight
Vegetable products,Fruit,fruit,2009, 2009/10,ending stock,ending stock,157.8,157.8,157.8,157.8,1 000 tons,product weight
Vegetable products,Fruit,fruit,2010, 2010/11,ending stock,ending stock,114.7,114.7,114.7,114.7,1 000 tons,product weight
Vegetable products,Fruit,fruit,2011, 2011/12,ending stock,ending stock,157.9,157.9,157.9,157.9,1 000 tons,product weight
Vegetable products,Fruit,fruit,2012, 2012/13,ending stock,ending stock,153.2,153.2,153.2,153.2,1 000 tons,product weight
Vegetable products,Fruit,fruit,2013, 2013/14,ending stock,ending stock,132.55,132.55,132.55,132.55,1 000 tons,product weight
Vegetable products,Fruit,fruit,2014, 2014/15,ending stock,ending stock,176.047,176.047,176.047,176.047,1 000 tons,product weight
Vegetable products,Fruit,fruit,1990, 1990/91,import,import,5520,5520,5520,5520,1 000 tons,product weight
Vegetable products,Fruit,fruit,1991, 1991/92,import,import,6269,6269,6269,6269,1 000 tons,product weight
Vegetable products,Fruit,fruit,1992, 1992/93,import,import,6036,6036,6036,6036,1 000 tons,product weight
Vegetable products,Fruit,fruit,1993, 1993/94,import,import,6055,6055,6055,6055,1 000 tons,product weight
Vegetable products,Fruit,fruit,1994, 1994/95,import,import,6330,6330,6330,6330,1 000 tons,product weight
Vegetable products,Fruit,fruit,1995, 1995/96,import,import,6433,6433,6433,6433,1 000 tons,product weight
Vegetable products,Fruit,fruit,1996, 1996/97,import,import,6559,6559,6559,6559,1 000 tons,product weight
Vegetable products,Fruit,fruit,1997, 1997/98,import,import,6704,6704,6704,6704,1 000 tons,product weight
Vegetable products,Fruit,fruit,1998, 1998/99,import,import,6328,6328,6328,6328,1 000 tons,product weight
Vegetable products,Fruit,fruit,1999, 1999/00,import,import,7037,7037,7037,7037,1 000 tons,product weight
Vegetable products,Fruit,fruit,2000, 2000/01,import,import,7078,7078,7078,7078,1 000 tons,product weight
Vegetable products,Fruit,fruit,2001, 2001/02,import,import,7582,7582,7582,7582,1 000 tons,product weight
Vegetable products,Fruit,fruit,2002, 2002/03,import,import,8117,8117,8117,8117,1 000 tons,product weight
Vegetable products,Fruit,fruit,2003, 2003/04,import,import,8553,8553,8553,8553,1 000 tons,product weight
Vegetable products,Fruit,fruit,2004, 2004/05,import,import,7899,7899,7899,7899,1 000 tons,product weight
Vegetable products,Fruit,fruit,2005, 2005/06,import,import,8750.7,8750.7,8750.7,8750.7,1 000 tons,product weight
Vegetable products,Fruit,fruit,2006, 2006/07,import,import,8434.17,8434.17,8434.17,8434.17,1 000 tons,product weight
Vegetable products,Fruit,fruit,2007, 2007/08,import,import,8028.81,8028.81,8028.81,8028.81,1 000 tons,product weight
Vegetable products,Fruit,fruit,2008, 2008/09,import,import,7716.34,7716.34,7716.34,7716.34,1 000 tons,product weight
Vegetable products,Fruit,fruit,2009, 2009/10,import,import,7889.16,7889.16,7889.16,7889.16,1 000 tons,product weight
Vegetable products,Fruit,fruit,2010, 2010/11,import,import,7738.05,7738.05,7738.05,7738.05,1 000 tons,product weight
Vegetable products,Fruit,fruit,2011, 2011/12,import,import,7495,7495,7495,7495,1 000 tons,product weight
Vegetable products,Fruit,fruit,2012, 2012/13,import,import,7383.36,7383.36,7383.36,7383.36,1 000 tons,product weight
Vegetable products,Fruit,fruit,2013, 2013/14,import,import,7703.46,7703.46,7703.46,7703.46,1 000 tons,product weight
Vegetable products,Fruit,fruit,2014, 2014/15,import,import,7157.26,7157.26,7157.26,7157.26,1 000 tons,product weight
Vegetable products,Fruit,fruit,1990, 1990/91,export,export,1405,1405,1405,1405,1 000 tons,product weight
Vegetable products,Fruit,fruit,1991, 1991/92,export,export,1393,1393,1393,1393,1 000 tons,product weight
Vegetable products,Fruit,fruit,1992, 1992/93,export,export,1226,1226,1226,1226,1 000 tons,product weight
Vegetable products,Fruit,fruit,1993, 1993/94,export,export,1453,1453,1453,1453,1 000 tons,product weight
Vegetable products,Fruit,fruit,1994, 1994/95,export,export,1825,1825,1825,1825,1 000 tons,product weight
Vegetable products,Fruit,fruit,1995, 1995/96,export,export,1606,1606,1606,1606,1 000 tons,product weight
Vegetable products,Fruit,fruit,1996, 1996/97,export,export,1507,1507,1507,1507,1 000 tons,product weight
Vegetable products,Fruit,fruit,1997, 1997/98,export,export,1531,1531,1531,1531,1 000 tons,product weight
Vegetable products,Fruit,fruit,1998, 1998/99,export,export,1549,1549,1549,1549,1 000 tons,product weight
Vegetable products,Fruit,fruit,1999, 1999/00,export,export,1710,1710,1710,1710,1 000 tons,product weight
Vegetable products,Fruit,fruit,2000, 2000/01,export,export,1908,1908,1908,1908,1 000 tons,product weight
Vegetable products,Fruit,fruit,2001, 2001/02,export,export,2153,2153,2153,2153,1 000 tons,product weight
Vegetable products,Fruit,fruit,2002, 2002/03,export,export,2570,2570,2570,2570,1 000 tons,product weight
Vegetable products,Fruit,fruit,2003, 2003/04,export,export,2757,2757,2757,2757,1 000 tons,product weight
Vegetable products,Fruit,fruit,2004, 2004/05,export,export,2726,2726,2726,2726,1 000 tons,product weight
Vegetable products,Fruit,fruit,2005, 2005/06,export,export,3099.6,3099.6,3099.6,3099.6,1 000 tons,product weight
Vegetable products,Fruit,fruit,2006, 2006/07,export,export,2962.52,2962.52,2962.52,2962.52,1 000 tons,product weight
Vegetable products,Fruit,fruit,2007, 2007/08,export,export,3156.44,3156.44,3156.44,3156.44,1 000 tons,product weight
Vegetable products,Fruit,fruit,2008, 2008/09,export,export,2888.18,2888.18,2888.18,2888.18,1 000 tons,product weight
Vegetable products,Fruit,fruit,2009, 2009/10,export,export,3012.68,3012.68,3012.68,3012.68,1 000 tons,product weight
Vegetable products,Fruit,fruit,2010, 2010/11,export,export,2930.4,2930.4,2930.4,2930.4,1 000 tons,product weight
Vegetable products,Fruit,fruit,2011, 2011/12,export,export,2686,2686,2686,2686,1 000 tons,product weight
Vegetable products,Fruit,fruit,2012, 2012/13,export,export,2688.62,2688.62,2688.62,2688.62,1 000 tons,product weight
Vegetable products,Fruit,fruit,2013, 2013/14,export,export,2691.01,2691.01,2691.01,2691.01,1 000 tons,product weight
Vegetable products,Fruit,fruit,2014, 2014/15,export,export,2769.73,2769.73,2769.73,2769.73,1 000 tons,product weight
Vegetable products,Fruit,fruit,1990, 1990/91,detail position,domestic use,5140,5140,5140,5140,1 000 tons,product weight
Vegetable products,Fruit,fruit,1991, 1991/92,detail position,domestic use,5589,5589,5589,5589,1 000 tons,product weight
Vegetable products,Fruit,fruit,1992, 1992/93,detail position,domestic use,6360,6360,6360,6360,1 000 tons,product weight
Vegetable products,Fruit,fruit,1993, 1993/94,detail position,domestic use,5714,5714,5714,5714,1 000 tons,product weight
Vegetable products,Fruit,fruit,1994, 1994/95,detail position,domestic use,5547,5547,5547,5547,1 000 tons,product weight
Vegetable products,Fruit,fruit,1995, 1995/96,detail position,domestic use,5611,5611,5611,5611,1 000 tons,product weight
Vegetable products,Fruit,fruit,1996, 1996/97,detail position,domestic use,6030,6030,6030,6030,1 000 tons,product weight
Vegetable products,Fruit,fruit,1997, 1997/98,detail position,domestic use,6120,6120,6120,6120,1 000 tons,product weight
Vegetable products,Fruit,fruit,1998, 1998/99,detail position,domestic use,5882,5882,5882,5882,1 000 tons,product weight
Vegetable products,Fruit,fruit,1999, 1999/00,detail position,domestic use,6610,6610,6610,6610,1 000 tons,product weight
Vegetable products,Fruit,fruit,2000, 2000/01,detail position,domestic use,6515,6515,6515,6515,1 000 tons,product weight
Vegetable products,Fruit,fruit,2001, 2001/02,detail position,domestic use,6833,6833,6833,6833,1 000 tons,product weight
Vegetable products,Fruit,fruit,2002, 2002/03,detail position,domestic use,6581,6581,6581,6581,1 000 tons,product weight
Vegetable products,Fruit,fruit,2003, 2003/04,detail position,domestic use,6814,6814,6814,6814,1 000 tons,product weight
Vegetable products,Fruit,fruit,2004, 2004/05,detail position,domestic use,6366,6366,6366,6366,1 000 tons,product weight
Vegetable products,Fruit,fruit,2005, 2005/06,detail position,domestic use,6802.7,6802.7,6802.7,6802.7,1 000 tons,product weight
Vegetable products,Fruit,fruit,2006, 2006/07,detail position,domestic use,6697.65,6697.65,6697.65,6697.65,1 000 tons,product weight
Vegetable products,Fruit,fruit,2007, 2007/08,detail position,domestic use,6211.01,6211.01,6211.01,6211.01,1 000 tons,product weight
Vegetable products,Fruit,fruit,2008, 2008/09,detail position,domestic use,6052.99,6052.99,6052.99,6052.99,1 000 tons,product weight
Vegetable products,Fruit,fruit,2009, 2009/10,detail position,domestic use,6206.34,6206.34,6206.34,6206.34,1 000 tons,product weight
Vegetable products,Fruit,fruit,2010, 2010/11,detail position,domestic use,5934.04,5934.04,5934.04,5934.04,1 000 tons,product weight
Vegetable products,Fruit,fruit,2011, 2011/12,detail position,domestic use,5928.6,5928.6,5928.6,5928.6,1 000 tons,product weight
Vegetable products,Fruit,fruit,2012, 2012/13,detail position,domestic use,5878.83,5878.83,5878.83,5878.83,1 000 tons,product weight
Vegetable products,Fruit,fruit,2013, 2013/14,detail position,domestic use,6083.62,6083.62,6083.62,6083.62,1 000 tons,product weight
Vegetable products,Fruit,fruit,2014, 2014/15,detail position,domestic use,5713.05,5713.05,5713.05,5713.05,1 000 tons,product weight
Vegetable products,Fruit,fruit,1990, 1990/91,detail position,losses,289,289,289,289,1 000 tons,product weight
Vegetable products,Fruit,fruit,1991, 1991/92,detail position,losses,309,309,309,309,1 000 tons,product weight
Vegetable products,Fruit,fruit,1992, 1992/93,detail position,losses,353,353,353,353,1 000 tons,product weight
Vegetable products,Fruit,fruit,1993, 1993/94,detail position,losses,301,301,301,301,1 000 tons,product weight
Vegetable products,Fruit,fruit,1994, 1994/95,detail position,losses,320,320,320,320,1 000 tons,product weight
Vegetable products,Fruit,fruit,1995, 1995/96,detail position,losses,314,314,314,314,1 000 tons,product weight
Vegetable products,Fruit,fruit,1996, 1996/97,detail position,losses,322,322,322,322,1 000 tons,product weight
Vegetable products,Fruit,fruit,1997, 1997/98,detail position,losses,305,305,305,305,1 000 tons,product weight
Vegetable products,Fruit,fruit,1998, 1998/99,detail position,losses,304,304,304,304,1 000 tons,product weight
Vegetable products,Fruit,fruit,1999, 1999/00,detail position,losses,350,350,350,350,1 000 tons,product weight
Vegetable products,Fruit,fruit,2000, 2000/01,detail position,losses,332,332,332,332,1 000 tons,product weight
Vegetable products,Fruit,fruit,2001, 2001/02,detail position,losses,322,322,322,322,1 000 tons,product weight
Vegetable products,Fruit,fruit,2002, 2002/03,detail position,losses,311,311,311,311,1 000 tons,product weight
Vegetable products,Fruit,fruit,2003, 2003/04,detail position,losses,317,317,317,317,1 000 tons,product weight
Vegetable products,Fruit,fruit,2004, 2004/05,detail position,losses,318,318,318,318,1 000 tons,product weight
Vegetable products,Fruit,fruit,2005, 2005/06,detail position,losses,319.8,319.8,319.8,319.8,1 000 tons,product weight
Vegetable products,Fruit,fruit,2006, 2006/07,detail position,losses,314.5,314.5,314.5,314.5,1 000 tons,product weight
Vegetable products,Fruit,fruit,2007, 2007/08,detail position,losses,309.956,309.956,309.956,309.956,1 000 tons,product weight
Vegetable products,Fruit,fruit,2008, 2008/09,detail position,losses,308.455,308.455,308.455,308.455,1 000 tons,product weight
Vegetable products,Fruit,fruit,2009, 2009/10,detail position,losses,313.949,313.949,313.949,313.949,1 000 tons,product weight
Vegetable products,Fruit,fruit,2010, 2010/11,detail position,losses,303.614,303.614,303.614,303.614,1 000 tons,product weight
Vegetable products,Fruit,fruit,2011, 2011/12,detail position,losses,297.882,297.882,297.882,297.882,1 000 tons,product weight
Vegetable products,Fruit,fruit,2012, 2012/13,detail position,losses,303.402,303.402,303.402,303.402,1 000 tons,product weight
Vegetable products,Fruit,fruit,2013, 2013/14,detail position,losses,326,326,326,326,1 000 tons,product weight
Vegetable products,Fruit,fruit,2014, 2014/15,detail position,losses,331.003,331.003,331.003,331.003,1 000 tons,product weight
Vegetable products,Fruit,fruit,1990, 1990/91,consumption,consumption,4851,4851,4851,4851,1 000 tons,product weight
Vegetable products,Fruit,fruit,1991, 1991/92,consumption,consumption,5280,5280,5280,5280,1 000 tons,product weight
Vegetable products,Fruit,fruit,1992, 1992/93,consumption,consumption,6077,6077,6077,6077,1 000 tons,product weight
Vegetable products,Fruit,fruit,1993, 1993/94,consumption,consumption,5413,5413,5413,5413,1 000 tons,product weight
Vegetable products,Fruit,fruit,1994, 1994/95,consumption,consumption,5227,5227,5227,5227,1 000 tons,product weight
Vegetable products,Fruit,fruit,1995, 1995/96,consumption,consumption,5297,5297,5297,5297,1 000 tons,product weight
Vegetable products,Fruit,fruit,1996, 1996/97,consumption,consumption,5708,5708,5708,5708,1 000 tons,product weight
Vegetable products,Fruit,fruit,1997, 1997/98,consumption,consumption,5815,5815,5815,5815,1 000 tons,product weight
Vegetable products,Fruit,fruit,1998, 1998/99,consumption,consumption,5578,5578,5578,5578,1 000 tons,product weight
Vegetable products,Fruit,fruit,1999, 1999/00,consumption,consumption,6260,6260,6260,6260,1 000 tons,product weight
Vegetable products,Fruit,fruit,2000, 2000/01,consumption,consumption,6183,6183,6183,6183,1 000 tons,product weight
Vegetable products,Fruit,fruit,2001, 2001/02,consumption,consumption,6511,6511,6511,6511,1 000 tons,product weight
Vegetable products,Fruit,fruit,2002, 2002/03,consumption,consumption,6270,6270,6270,6270,1 000 tons,product weight
Vegetable products,Fruit,fruit,2003, 2003/04,consumption,consumption,6497,6497,6497,6497,1 000 tons,product weight
Vegetable products,Fruit,fruit,2004, 2004/05,consumption,consumption,6048,6048,6048,6048,1 000 tons,product weight
Vegetable products,Fruit,fruit,2005, 2005/06,consumption,consumption,6482.9,6482.9,6482.9,6482.9,1 000 tons,product weight
